Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2023,Fall,2023-fa,CHEM,332,Elementary Organic Chem II,LCD,13,28,23,7,29,23,16,7,13,15,0,0,5,5,184,"Baptiste, Dariusz"
2023,Fall,2023-fa,CHEM,332,Elementary Organic Chem II,LEC,30,54,12,9,18,18,16,7,12,1,4,0,0,7,188,"Vasquez-Holm, Mihail"
2023,Spring,2023-sp,CHEM,332,Elementary Organic Chem II,LCD,19,14,12,8,5,6,7,5,0,2,1,0,4,1,84,"Takahashi, Elif"
2023,Spring,2023-sp,CHEM,332,Elementary Organic Chem II,LEC,16,31,29,8,28,13,13,9,10,0,11,22,0,4,194,"Baptiste, Dariusz"
2024,Fall,2024-fa,CHEM,332,Elementary Organic Chem II,ONL,14,25,5,5,13,13,13,7,5,3,3,6,0,1,113,"Vasquez-Holm, M"
2024,Spring,2024-sp,CHEM,332,Elementary Organic Chem II,LEC,12,30,13,10,29,13,13,9,5,22,3,9,3,11,182,"Baptiste, Dariusz"
2021,Spring,2021-sp,CHEM,360,Chemistry of the Environment,LEC,4,33,31,19,5,10,3,12,0,0,0,0,0,2,119,"Blackwood, Elodie"
2022,Spring,2022-sp,CHEM,360,Chemistry of the Environment,LEC,6,31,30,15,15,7,7,6,2,0,2,0,0,7,128,"Blackwood, Elodie"
2023,Fall,2023-fa,CHEM,360,Chemistry of the Environment,LEC,7,54,17,18,20,13,3,9,0,0,0,0,0,4,145,"Blackwood, Elodie"
2024,Fall,2024-fa,CHEM,360,Chemistry of the Environment,LCD,11,20,29,24,17,9,13,4,3,3,1,3,4,8,149,"Blackwood, Elodie"
2025,Fall,2025-fa,CHEM,360,Chemistry of the Environment,LCD,3,37,23,14,23,9,1,7,2,3,6,0,3,8,139,"Blackwood, Elodie"
2020,Fall,2020-fa,CHEM,420,Instrumental Characterization,LCD,4,26,16,14,9,10,6,8,10,4,0,0,7,6,120,"Karimi, S"
2020,Spring,2020-sp,CHEM,420,Instrumental Characterization,LEC,16,26,19,12,10,12,11,12,9,6,9,3,0,5,150,"Karimi, Samuel"
2021,Fall,2021-fa,CHEM,420,Instrumental Characterization,LEC,0,50,35,14,14,3,4,5,7,4,0,13,0,10,159,"Ferreira-Nakamura, C"
2021,Spring,2021-sp,CHEM,420,Instrumental Characterization,LCD,1,30,38,13,12,7,7,5,0,0,0,0,2,3,118,"Karimi, Samuel"
2021,Spring,2021-sp,CHEM,420,Instrumental Characterization,ONL,3,35,18,30,15,1,2,3,8,0,11,0,3,3,132,"Bogusławski, Amara"
2022,Fall,2022-fa,CHEM,420,Instrumental Characterization,DIS,0,5,1,3,3,3,2,0,3,0,0,0,0,0,20,"Bogusławski, A"
2022,Fall,2022-fa,CHEM,420,Instrumental Characterization,LEC,4,29,16,8,6,6,1,11,0,0,0,7,4,1,93,"Bogusławski, Amara"
2022,Fall,2022-fa,CHEM,420,Instrumental Characterization,LEC,0,33,18,26,14,10,5,17,7,4,0,0,1,3,138,"Ferreira-Nakamura, Christopher"
2022,Spring,2022-sp,CHEM,420,Instrumental Characterization,LEC,4,28,13,1,5,3,4,7,11,7,0,1,2,0,86,"Karimi, Samuel"
2023,Fall,2023-fa,CHEM,420,Instrumental Characterization,DIS,0,2,2,0,1,3,1,1,1,0,3,0,0,0,14,"Bogusławski, A"
2023,Fall,2023-fa,CHEM,420,Instrumental Characterization,DIS,3,13,7,1,2,1,2,1,1,0,3,0,4,1,39,"Ćosić, D"
2023,Fall,2023-fa,CHEM,420,Instrumental Characterization,LEC,3,22,14,18,9,11,5,13,4,0,0,7,0,5,111,"Bogusławski, Amara"
2023,Fall,2023-fa,CHEM,420,Instrumental Characterization,LEC,0,42,9,4,15,7,8,8,10,0,14,0,0,7,124,"Ferreira-Nakamura, Christopher"
2023,Fall,2023-fa,CHEM,420,Instrumental Characterization,LEC,5,23,17,5,12,5,10,4,1,0,2,2,0,1,87,"Karimi, Samuel"
2022,Spring,2022-sp,CHEM,440,Physical Chemistry Principles,LEC,4,12,10,8,16,5,3,8,0,0,2,3,0,2,73,"Szymanski, Andrew"
2023,Fall,2023-fa,CHEM,440,Physical Chemistry Principles,LEC,1,8,1,3,4,2,1,5,0,0,0,0,0,0,25,"Szymanski, Andrew"
2024,Fall,2024-fa,CHEM,440,Physical Chemistry Principles,LEC,1,12,10,8,22,4,2,8,0,0,3,0,0,2,72,"Szymanski, Andrew"
2020,Fall,2020-fa,CHEM,442,Physical Chemistry I,LEC,1,5,15,7,8,2,4,0,2,2,0,0,2,1,49,"Alcantara, Oriol"
2021,Spring,2021-sp,CHEM,442,Physical Chemistry I,DIS,5,4,2,2,5,1,1,0,0,0,0,1,0,1,22,"Ferreira-Nakamura, C"
2021,Spring,2021-sp,CHEM,442,Physical Chemistry I,LEC,2,6,6,5,2,1,3,1,4,1,1,0,2,0,34,"Alcantara, Oriol"
2021,Spring,2021-sp,CHEM,442,Physical Chemistry I,LEC,4,14,12,2,3,7,0,0,1,0,1,0,0,0,44,"Ferreira-Nakamura, Christopher"
2022,Spring,2022-sp,CHEM,442,Physical Chemistry I,LEC,5,25,14,7,13,11,0,0,1,0,0,7,8,8,99,"Ferreira-Nakamura, Christopher"
2022,Spring,2022-sp,CHEM,442,Physical Chemistry I,ONL,6,13,21,6,6,3,0,1,5,0,0,0,1,1,63,"Alcantara, O"
2023,Spring,2023-sp,CHEM,442,Physical Chemistry I,LEC,2,11,7,6,7,5,5,0,1,0,0,1,2,0,47,"Alcantara, Oriol"
2023,Spring,2023-sp,CHEM,442,Physical Chemistry I,ONL,4,4,12,2,4,0,1,0,1,1,0,0,0,1,30,"Ferreira-Nakamura, Christopher"
2024,Spring,2024-sp,CHEM,442,Physical Chemistry I,LCD,4,7,11,7,3,1,2,3,3,1,0,0,0,3,45,"Alcantara, Oriol"
2020,Spring,2020-sp,CS,100,Computer Science Orientation,LCD,7,199,0,5,27,5,1,0,6,0,0,7,0,9,266,"Adichie, Esperanza"
2020,Spring,2020-sp,CS,100,Computer Science Orientation,LCD,40,90,3,13,0,3,3,0,2,0,0,8,15,4,181,"Ibarra-Quintero, Marisol"
2021,Fall,2021-fa,CS,100,Computer Science Orientation,LCD,124,129,4,4,7,0,13,0,0,8,13,0,11,9,322,"Lindgren, Gwendolyn"
2021,Fall,2021-fa,CS,100,Computer Science Orientation,LEC,69,136,16,13,12,0,19,5,0,6,16,0,0,5,297,"Ibarra-Quintero, Marisol"
2021,Spring,2021-sp,CS,100,Computer Science Orientation,LCD,0,247,8,0,5,0,12,6,4,0,0,3,0,11,296,"Adichie, Esperanza"
2022,Fall,2022-fa,CS,100,Computer Science Orientation,ONL,49,102,12,1,0,4,3,0,0,13,0,10,12,6,212,"Ibarra-Quintero, Marisol"
2022,Spring,2022-sp,CS,100,Computer Science Orientation,DIS,1,56,0,0,6,0,4,4,0,2,0,2,0,2,77,"Yamaguchi, N"
2022,Spring,2022-sp,CS,100,Computer Science Orientation,LEC,21,283,0,12,19,11,0,32,0,10,10,0,2,8,408,"Adichie, Esperanza"
2022,Spring,2022-sp,CS,100,Computer Science Orientation,LEC,85,83,0,14,12,8,1,13,0,4,10,0,9,2,241,"Lindgren, Gwendolyn"
2023,Fall,2023-fa,CS,100,Computer Science Orientation,LCD,68,174,10,1,10,10,0,3,5,0,7,0,7,9,304,"Ibarra-Quintero, Marisol"
2023,Fall,2023-fa,CS,100,Computer Science Orientation,LCD,70,69,0,7,1,0,0,0,7,0,0,4,1,4,163,"Lindgren, Gwendolyn"
2023,Spring,2023-sp,CS,100,Computer Science Orientation,LCD,1,73,1,0,0,0,1,0,0,3,1,3,4,4,91,"Adichie, Esperanza"
2023,Spring,2023-sp,CS,100,Computer Science Orientation,LCD,65,92,5,0,14,6,7,0,6,2,0,1,2,1,201,"Ibarra-Quintero, Marisol"
2024,Fall,2024-fa,CS,100,Computer Science Orientation,DIS,19,28,2,4,2,0,3,0,0,4,5,4,1,2,74,"Ibarra-Quintero, M"
2024,Fall,2024-fa,CS,100,Computer Science Orientation,LEC,77,136,4,0,21,1,0,0,10,0,1,3,9,8,270,"Ibarra-Quintero, Marisol"
2024,Spring,2024-sp,CS,100,Computer Science Orientation,DIS,0,80,12,1,0,0,3,6,0,2,1,5,3,1,114,"Adichie, Esperanza"
2024,Spring,2024-sp,CS,100,Computer Science Orientation,LEC,19,289,0,0,34,0,0,12,0,0,6,0,0,13,373,"Adichie, Esperanza"
2024,Spring,2024-sp,CS,100,Computer Science Orientation,LEC,79,90,0,4,16,6,18,13,10,0,1,6,0,8,251,"Lindgren, Gwendolyn"
2025,Fall,2025-fa,CS,100,Computer Science Orientation,LEC,0,168,12,4,12,4,6,4,10,0,0,6,6,6,238,
2025,Fall,2025-fa,CS,100,Computer Science Orientation,LEC,4,196,13,0,9,13,13,12,15,0,8,0,2,18,303,"Staff"
2025,Fall,2025-fa,CS,100,Computer Science Orientation,ONL,149,144,9,0,11,0,2,16,0,0,0,0,13,11,355,"Lindgren, Gwendolyn"
2020,Fall,2020-fa,CS,101,Intro Computing: Engrg & Sci,LCD,4,14,3,3,2,2,2,2,1,0,0,0,0,2,35,"Petrakis, J"
2020,Spring,2020-sp,CS,101,Intro Computing: Engrg & Sci,LCD,10,9,10,4,0,4,2,0,0,0,0,1,1,3,44,"Petrakis, Jun-Seo Jr"
2021,Fall,2021-fa,CS,101,Intro Computing: Engrg & Sci,LEC,9,10,7,3,3,2,1,1,0,1,0,1,0,1,39,"Petrakis, Jun-Seo"
2022,Fall,2022-fa,CS,101,Intro Computing: Engrg & Sci,DIS,3,8,1,4,1,1,0,0,0,0,0,1,0,1,20,"Adeyemi-Park, E"
2022,Fall,2022-fa,CS,101,Intro Computing: Engrg & Sci,LEC,11,11,5,2,2,3,2,4,0,0,0,0,3,1,44,"Petrakis, Jun-Seo"
2022,Fall,2022-fa,CS,101,Intro Computing: Engrg & Sci,LEC,7,12,5,6,2,1,0,0,2,2,0,0,2,1,40,"Réaumur, Edward"
2022,Spring,2022-sp,CS,101,Intro Computing: Engrg & Sci,DIS,2,1,1,0,1,1,2,0,1,0,0,0,0,0,9,"Réaumur, E"
2022,Spring,2022-sp,CS,101,Intro Computing: Engrg & Sci,LEC,11,14,5,2,2,10,0,0,3,0,1,1,0,1,50,"Reaumur, Edward"
2023,Fall,2023-fa,CS,101,Intro Computing: Engrg & Sci,LEC,12,9,8,2,6,4,2,0,0,0,0,0,0,0,43,"Petrakis, Jun-Seo"
2023,Fall,2023-fa,CS,101,Intro Computing: Engrg & Sci,LEC,10,10,5,7,4,2,1,6,0,2,0,0,1,1,49,"Réaumur, Edward"
2023,Spring,2023-sp,CS,101,Intro Computing: Engrg & Sci,DIS,6,5,0,2,2,1,0,0,0,0,0,0,2,0,18,"Réaumur, E"
2023,Spring,2023-sp,CS,101,Intro Computing: Engrg & Sci,LEC,8,11,3,2,0,2,0,3,0,1,0,0,2,0,32,"Réaumur, E"
2024,Fall,2024-fa,CS,101,Intro Computing: Engrg & Sci,DIS,1,3,2,1,2,0,0,0,1,0,0,0,0,1,11,"Réaumur, E"
2024,Fall,2024-fa,CS,101,Intro Computing: Engrg & Sci,LEC,6,20,8,2,0,3,3,0,0,1,0,0,0,0,43,"Petrakis, Jun-Seo"
2024,Fall,2024-fa,CS,101,Intro Computing: Engrg & Sci,LEC,13,12,4,3,0,3,0,0,2,2,0,3,3,2,47,"Réaumur, Edward"
2024,Spring,2024-sp,CS,101,Intro Computing: Engrg & Sci,LEC,10,13,1,1,3,2,1,3,0,0,0,0,3,0,37,"Réaumur, Edward"
2025,Fall,2025-fa,CS,101,Intro Computing: Engrg & Sci,LEC,9,17,10,4,5,4,2,1,0,1,0,0,0,2,55,"Réaumur, Edward"
2020,Fall,2020-fa,CS,105,Intro Computing: Non-Tech,DIS,1,3,4,1,2,1,0,0,0,1,1,0,0,0,14,"Petrakis, J"
2020,Fall,2020-fa,CS,105,Intro Computing: Non-Tech,LEC,4,6,9,5,3,5,2,1,0,1,0,0,1,0,37,"Petrakis, Jun-Seo"
2020,Fall,2020-fa,CS,105,Intro Computing: Non-Tech,LEC,4,10,2,3,11,3,3,1,3,1,0,1,0,4,46,"Rosenqvist, Ravi"
2021,Fall,2021-fa,CS,105,Intro Computing: Non-Tech,DIS,1,2,3,0,3,0,0,1,1,0,0,0,0,0,11,"Adeyemi-Park, E"
2021,Fall,2021-fa,CS,105,Intro Computing: Non-Tech,LCD,6,8,7,6,3,8,2,1,0,2,0,0,2,1,46,"Rosenqvist, Ravi"
2021,Fall,2021-fa,CS,105,Intro Computing: Non-Tech,LEC,12,9,7,2,3,0,2,3,0,0,0,2,0,0,40,"Lindgren, Gwendolyn"
2021,Fall,2021-fa,CS,105,Intro Computing: Non-Tech,LEC,6,9,7,2,1,4,0,1,1,1,0,1,2,2,37,"Petrakis, Jun-Seo"
2022,Fall,2022-fa,CS,105,Intro Computing: Non-Tech,LEC,11,4,9,6,4,3,5,0,0,0,1,0,0,0,43,"Lindgren, Gwendolyn"
2022,Fall,2022-fa,CS,105,Intro Computing: Non-Tech,LEC,6,10,3,5,7,5,2,1,0,1,1,0,0,2,43,"Petrakis, Jun-Seo"
2022,Fall,2022-fa,CS,105,Intro Computing: Non-Tech,LEC,5,8,10,9,4,1,3,4,4,2,0,3,0,1,54,"Rosenqvist, Ravi"
2022,Spring,2022-sp,CS,105,Intro Computing: Non-Tech,DIS,0,3,1,1,2,0,1,0,1,0,0,0,1,0,10,"Adeyemi-Park, E"
2022,Spring,2022-sp,CS,105,Intro Computing: Non-Tech,LEC,11,0,4,3,5,1,1,1,0,0,0,0,4,2,32,"Lindgren, Gwendolyn"
2022,Spring,2022-sp,CS,105,Intro Computing: Non-Tech,LEC,7,9,6,5,0,1,0,0,0,0,0,1,0,0,29,"Petrakis, Jun-Seo"
2022,Spring,2022-sp,CS,105,Intro Computing: Non-Tech,LEC,6,7,1,2,4,3,5,2,2,0,0,0,0,0,32,"Rosenqvist, Ravi"
2023,Fall,2023-fa,CS,105,Intro Computing: Non-Tech,DIS,1,4,2,0,1,0,0,0,0,1,0,0,0,0,9,"Petrakis, J"
2023,Fall,2023-fa,CS,105,Intro Computing: Non-Tech,LCD,5,5,8,4,2,0,3,3,0,0,3,0,2,3,38,"Rosenqvist, Ravi"
2023,Fall,2023-fa,CS,105,Intro Computing: Non-Tech,LEC,7,20,7,11,2,1,0,1,3,1,0,4,2,3,62,"Petrakis, Jun-Seo"
2023,Spring,2023-sp,CS,105,Intro Computing: Non-Tech,LCD,5,5,6,2,6,2,0,1,2,1,4,0,0,2,36,"Lindgren, Gwendolyn"
2024,Fall,2024-fa,CS,105,Intro Computing: Non-Tech,DIS,0,2,4,1,2,1,1,0,1,0,0,0,0,0,12,"Petrakis, J"
2024,Fall,2024-fa,CS,105,Intro Computing: Non-Tech,LEC,13,13,1,4,2,5,1,2,2,1,1,0,0,0,45,"Lindgren, Gwendolyn"
2024,Fall,2024-fa,CS,105,Intro Computing: Non-Tech,LEC,1,5,10,3,0,4,0,0,3,0,0,0,1,1,28,"Petrakis, Jun-Seo"
2024,Spring,2024-sp,CS,105,Intro Computing: Non-Tech,LCD,3,11,1,9,7,4,5,3,1,1,4,0,0,1,50,"Petrakis, Jun-Seo"
2024,Spring,2024-sp,CS,105,Intro Computing: Non-Tech,LCD,14,20,6,7,8,9,2,4,0,0,1,0,2,4,77,"Rosenqvist, Ravi"
2025,Fall,2025-fa,CS,105,Intro Computing: Non-Tech,LEC,14,2,5,8,3,0,2,2,4,1,1,0,0,0,42,"Lindgren, Gwendolyn"
2025,Fall,2025-fa,CS,105,Intro Computing: Non-Tech,LEC,3,11,1,1,5,2,1,2,0,0,1,1,0,1,29,"Rosenqvist, Ravi"
2025,Spring,2025-sp,CS,105,Intro Computing: Non-Tech,LCD,6,10,7,0,6,1,2,0,0,0,2,3,1,1,39,"Rosenqvist, Ravi"
2021,Fall,2021-fa,CS,124,Intro to Computer Science I,LEC,20,266,33,10,0,2,12,8,21,2,20,6,0,12,412,"Lindgren, Mihail"
2021,Spring,2021-sp,CS,124,Intro to Computer Science I,LEC,23,272,0,26,17,5,0,4,7,3,9,0,34,14,414,"Lindgren, Mihail"
2022,Fall,2022-fa,CS,124,Intro to Computer Science I,LEC,4,244,22,10,36,2,4,23,15,0,2,7,31,10,410,"Lindgren, Mihail"
2023,Fall,2023-fa,CS,124,Intro to Computer Science I,DIS,4,40,6,4,3,0,2,4,0,0,5,2,0,2,72,"Lindgren, M"
2023,Fall,2023-fa,CS,124,Intro to Computer Science I,LEC,4,207,17,41,21,16,34,13,12,3,3,12,17,20,420,"Lindgren, M"
2024,Spring,2024-sp,CS,124,Intro to Computer Science I,LCD,3,246,43,34,4,10,24,5,8,7,16,0,0,14,414,"Lindgren, Mihail"
2020,Spring,2020-sp,CS,125,Intro to Computer Science,LEC,51,49,16,4,4,10,2,11,17,2,0,2,0,4,172,"Ibarra-Quintero, Marisol"
2021,Fall,2021-fa,CS,125,Intro to Computer Science,DIS,4,8,3,0,3,1,1,1,1,0,0,1,0,0,23,"Ibarra-Quintero, M"
2021,Fall,2021-fa,CS,125,Intro to Computer Science,LCD,53,108,13,25,6,6,3,21,0,0,8,6,0,9,258,"Lindgren, Mihail"
2021,Fall,2021-fa,CS,125,Intro to Computer Science,LEC,60,50,16,16,5,13,17,2,0,3,0,10,0,7,199,"Ibarra-Quintero, Marisol"
2021,Spring,2021-sp,CS,125,Intro to Computer Science,DIS,16,12,6,2,5,1,2,0,3,5,0,0,0,1,53,"Ibarra-Quintero, M"
2021,Spring,2021-sp,CS,125,Intro to Computer Science,LEC,40,44,7,15,12,13,11,8,3,0,0,0,0,3,156,"Ibarra-Quintero, Marisol"
2022,Fall,2022-fa,CS,125,Intro to Computer Science,LCD,40,62,21,1,22,2,19,0,1,0,16,0,1,5,190,"Lindgren, Mihail"
2022,Spring,2022-sp,CS,125,Intro to Computer Science,LEC,70,53,20,24,14,7,0,9,2,2,8,4,12,6,231,"Ibarra-Quintero, Marisol"
2023,Fall,2023-fa,CS,125,Intro to Computer Science,DIS,11,19,8,4,0,1,6,2,3,0,1,0,4,0,59,"Lindgren, M"
2023,Fall,2023-fa,CS,125,Intro to Computer Science,LEC,62,57,2,17,15,0,6,13,13,0,13,0,10,4,212,"Ibarra-Quintero, Marisol"
2023,Fall,2023-fa,CS,125,Intro to Computer Science,LEC,37,59,25,15,0,6,12,0,5,1,15,8,13,4,200,"Lindgren, Mihail"
2023,Spring,2023-sp,CS,125,Intro to Computer Science,LEC,61,62,32,17,4,0,11,2,4,7,9,2,0,9,220,"Ibarra-Quintero, Marisol"
2023,Spring,2023-sp,CS,125,Intro to Computer Science,LEC,37,73,16,14,7,13,23,0,9,1,0,0,0,7,200,"Lindgren, Mihail"
2024,Fall,2024-fa,CS,125,Intro to Computer Science,DIS,20,25,6,0,5,3,5,0,0,0,4,1,0,3,72,"Ibarra-Quintero, M"
2024,Fall,2024-fa,CS,125,Intro to Computer Science,LCD,32,75,30,23,10,12,11,0,2,0,9,4,0,5,213,"Lindgren, M"
2024,Fall,2024-fa,CS,125,Intro to Computer Science,LEC,45,42,23,13,12,2,1,6,0,2,3,14,0,10,173,"Ibarra-Quintero, Marisol"
2024,Spring,2024-sp,CS,125,Intro to Computer Science,DIS,23,20,5,7,1,3,0,0,0,1,0,3,0,4,67,"Ibarra-Quintero, M"
2024,Spring,2024-sp,CS,125,Intro to Computer Science,LEC,92,76,30,42,9,0,3,26,1,0,5,3,0,7,294,"Ibarra-Quintero, Marisol"
2024,Spring,2024-sp,CS,125,Intro to Computer Science,LEC,17,65,14,17,12,9,3,3,3,3,0,2,0,5,153,"Lindgren, Mihail"
2020,Fall,2020-fa,CS,128,Intro to Computer Science II,LCD,28,205,27,5,19,0,6,25,11,0,0,0,14,14,354,"Rosenqvist, Ravi"
2020,Spring,2020-sp,CS,128,Intro to Computer Science II,LEC,12,233,19,22,22,9,19,7,3,1,18,16,19,10,410,"Rosenqvist, Ravi"
2021,Fall,2021-fa,CS,128,Intro to Computer Science II,LEC,9,271,3,30,16,6,0,1,0,0,4,1,4,5,350,"Rosenqvist, Ravi"
2021,Spring,2021-sp,CS,128,Intro to Computer Science II,LCD,0,150,140,31,25,4,1,18,0,0,8,14,9,10,410,"Mbeki Sandoval, Thomas"
2021,Spring,2021-sp,CS,128,Intro to Computer Science II,LEC,19,261,22,10,20,5,0,1,11,0,7,16,28,14,414,"Rosenqvist, R"
2022,Fall,2022-fa,CS,128,Intro to Computer Science II,LEC,0,158,97,10,0,8,14,0,6,0,0,16,16,8,333,"Mbeki Sandoval, Thomas"
2022,Spring,2022-sp,CS,128,Intro to Computer Science II,LEC,29,253,36,9,2,15,24,0,16,0,0,16,0,21,421,"Rosenqvist, Ravi"
2023,Fall,2023-fa,CS,128,Intro to Computer Science II,LEC,0,133,155,15,1,27,0,9,6,6,0,21,27,7,407,"Mbeki-Sandoval, Thomas"
2023,Fall,2023-fa,CS,128,Intro to Computer Science II,LEC,32,226,17,52,0,0,5,16,29,0,8,0,15,9,409,"Rosenqvist, Ravi"
2024,Fall,2024-fa,CS,128,Intro to Computer Science II,LCD,0,308,31,0,25,0,0,4,3,0,9,6,14,11,411,"Rosenqvist, Ravi"
2025,Spring,2025-sp,CS,128,Intro to Computer Science II,LEC,23,242,14,19,0,26,17,22,13,0,3,0,21,7,407,"Rosenqvist, R"
2020,Spring,2020-sp,CS,173,Discrete Structures,ONL,8,10,8,7,4,5,0,3,0,1,0,1,2,0,49,"Adichie, Esperanza"
2021,Fall,2021-fa,CS,173,Discrete Structures,LEC,6,5,4,5,6,4,4,0,1,0,1,0,1,1,38,"Lindgren, Gwendolyn"
2021,Spring,2021-sp,CS,173,Discrete Structures,ONL,1,4,3,0,4,4,1,0,0,1,2,0,0,1,21,"Adichie, Esperanza"
2022,Fall,2022-fa,CS,173,Discrete Structures,LEC,1,0,1,2,3,1,4,0,0,1,1,0,0,0,14,"Lindgren, Gwendolyn"
2022,Spring,2022-sp,CS,173,Discrete Structures,DIS,1,3,3,1,3,0,0,0,0,0,2,0,0,0,13,"Adichie, Esperanza"
2022,Spring,2022-sp,CS,173,Discrete Structures,LEC,4,4,6,1,6,2,0,2,0,3,0,0,2,1,31,"Adichie, Esperanza"
2023,Fall,2023-fa,CS,173,Discrete Structures,LEC,2,8,3,4,2,2,3,2,1,1,0,2,2,0,32,"Adichie, Esperanza"
2023,Spring,2023-sp,CS,173,Discrete Structures,DIS,0,4,0,2,0,1,1,0,0,0,0,0,0,1,9,"Yamaguchi, N"
2023,Spring,2023-sp,CS,173,Discrete Structures,LEC,8,2,3,3,3,2,4,0,0,3,1,0,0,1,30,"Lindgren, Gwendolyn"
2024,Fall,2024-fa,CS,173,Discrete Structures,LCD,2,2,0,3,3,0,3,0,0,0,0,1,0,0,14,"Lindgren, Gwendolyn"
2024,Fall,2024-fa,CS,173,Discrete Structures,LEC,2,12,7,9,6,2,0,1,0,2,1,0,0,0,42,"Adichie, Esperanza"
2024,Spring,2024-sp,CS,173,Discrete Structures,LEC,3,17,3,4,4,2,0,0,0,3,0,3,0,0,39,"Adichie, Esperanza"
2024,Spring,2024-sp,CS,173,Discrete Structures,LEC,7,5,2,8,10,0,0,2,0,2,0,1,0,0,37,"Lindgren, Gwendolyn"
2025,Spring,2025-sp,CS,173,Discrete Structures,LCD,4,3,3,2,3,0,0,0,3,1,1,1,0,1,22,"Lindgren, G"
2021,Spring,2021-sp,CS,225,Data Structures,LEC,7,121,15,11,29,5,1,30,23,3,13,0,24,16,298,"Lindgren, Mihail"
2022,Fall,2022-fa,CS,225,Data Structures,LEC,5,116,16,29,27,16,7,12,0,0,13,7,9,11,268,"Lindgren, M"
2022,Spring,2022-sp,CS,225,Data Structures,ONL,8,82,22,16,11,4,7,15,0,1,3,0,10,6,185,"Lindgren, Mihail"
2023,Fall,2023-fa,CS,225,Data Structures,LEC,1,73,16,14,12,2,2,7,17,1,17,7,14,7,190,"Lindgren, Mihail"
2023,Spring,2023-sp,CS,225,Data Structures,ONL,5,98,8,3,24,7,6,8,5,0,11,0,16,5,196,"Lindgren, Mihail"
2024,Fall,2024-fa,CS,225,Data Structures,LEC,14,92,14,15,7,19,1,10,2,8,7,0,19,7,215,"Lindgren, Mihail"
2024,Spring,2024-sp,CS,225,Data Structures,LEC,15,90,16,23,15,16,11,4,0,0,0,1,12,4,207,"Lindgren, Mihail"
2020,Fall,2020-fa,CS,233,Computer Architecture,LCD,24,34,8,6,13,0,0,9,0,0,2,0,2,4,102,"Ibarra-Quintero, Marisol"
2020,Fall,2020-fa,CS,233,Computer Architecture,LEC,35,110,32,12,32,18,5,4,5,6,7,4,12,8,290,"Rowan-Achebe, Amara"
2020,Spring,2020-sp,CS,233,Computer Architecture,LEC,67,62,18,3,27,2,4,8,0,0,16,0,4,6,217,"Ibarra-Quintero, Marisol"
2021,Spring,2021-sp,CS,233,Computer Architecture,DIS,2,12,3,4,4,1,6,1,0,2,0,0,4,3,42,"Rowan-Achebe, A"
2021,Spring,2021-sp,CS,233,Computer Architecture,LEC,67,71,0,12,29,5,27,7,0,0,4,5,0,3,230,"Ibarra-Quintero, Marisol"
2021,Spring,2021-sp,CS,233,Computer Architecture,LEC,16,71,27,8,35,5,5,4,0,3,10,6,9,9,208,"Rowan-Achebe, Amara"
2022,Fall,2022-fa,CS,233,Computer Architecture,LEC,20,52,10,1,19,1,0,1,7,4,3,0,6,1,125,"Rowan-Achebe, Amara"
2022,Spring,2022-sp,CS,233,Computer Architecture,LCD,44,43,4,9,7,1,3,13,5,0,5,9,15,3,161,"Ibarra-Quintero, Marisol"
2023,Fall,2023-fa,CS,233,Computer Architecture,LCD,49,43,9,14,10,5,1,2,0,3,14,5,7,5,167,"Ibarra-Quintero, Marisol"
2023,Fall,2023-fa,CS,233,Computer Architecture,ONL,17,64,11,6,16,0,7,12,1,2,3,0,11,1,151,"Rowan-Achebe, Amara"
2023,Spring,2023-sp,CS,233,Computer Architecture,DIS,17,14,0,2,2,0,0,6,0,0,2,1,4,3,51,"Ibarra-Quintero, M"
2023,Spring,2023-sp,CS,233,Computer Architecture,LEC,34,32,1,16,17,13,9,6,0,0,4,0,4,2,138,"Ibarra-Quintero, Marisol"
2023,Spring,2023-sp,CS,233,Computer Architecture,LEC,7,43,8,8,17,6,1,7,1,7,7,9,0,9,130,"Rowan-Achebe, Amara"
2024,Spring,2024-sp,CS,233,Computer Architecture,LEC,50,59,2,13,29,0,4,5,6,9,18,6,0,4,205,"Ibarra-Quintero, Marisol"
2020,Spring,2020-sp,CS,241,System Programming,DIS,11,5,6,3,6,3,4,1,2,0,0,0,0,2,43,"Sidibe, D"
2020,Spring,2020-sp,CS,241,System Programming,LEC,54,31,20,12,22,12,15,8,13,8,0,1,5,7,208,"Sidibe, D"
2021,Fall,2021-fa,CS,241,System Programming,LEC,2,13,16,20,19,5,34,6,3,6,5,0,10,1,140,"Mbeki-Sandoval, Thomas"
2021,Spring,2021-sp,CS,241,System Programming,LEC,29,24,12,16,17,13,4,3,4,11,2,1,2,3,141,"Sidibe, Daniel"
2021,Spring,2021-sp,CS,241,System Programming,ONL,7,23,16,18,7,13,10,6,3,7,4,2,12,5,133,"Mbeki-Sandoval, Thomas"
2022,Fall,2022-fa,CS,241,System Programming,DIS,1,6,5,2,1,3,2,2,3,2,1,1,2,0,31,"Mbeki-Sandoval, T"
2022,Fall,2022-fa,CS,241,System Programming,LCD,35,24,5,16,7,6,14,15,8,5,16,10,11,11,183,"Sidibe, D"
